公司名称,公司类型,融资阶段,标签,公司规模,公司所在地,职位类型,学历要求,福利,薪资,工作经验
广州市诚毅科技软件开发有限公司,企业服务,不需要融资,"['年终分红', '绩效奖金', '五险一金', '带薪年假']",150-500人,海珠区,开发/测试/运维类,本科,"氛围好,项目机会多,丰富活动,5天7小时",9k-12k,1-3年
广东亿迅科技有限公司,移动互联网,不需要融资,"['技能培训', '节日礼物', '年底双薪', '带薪年假']",2000人以上,海珠区,开发/测试/运维类,本科,"公司规模大,发展空间大,五险一金",14k-28k,3-5年
广州博冠信息科技有限公司,游戏,上市公司,"['绩效奖金', '年终分红', '专项奖金', '年底双薪']",2000人以上,天河区,开发/测试/运维类,本科,"16薪,团队氛围好,技术导向,大牛多",16k-20k,1-3年
广州天行客网络科技有限公司,移动互联网,不需要融资,[],50-150人,天河区,开发/测试/运维类,大专,"五险一金,带薪年假,绩效奖金,团队氛围好",8k-15k,3-5年
广州一一科技有限公司,"移动互联网,企业服务",不需要融资,"['年底双薪', '绩效奖金', '弹性工作', '扁平管理']",15-50人,荔湾区,开发/测试/运维类,不限,"双休,自由,项目奖金,环境舒适",8k-15k,1-3年
广州洋葱头信息科技有限公司,"移动互联网,教育",不需要融资,"['专项奖金', '股票期权', '带薪年假', '绩效奖金']",15-50人,天河区,开发/测试/运维类,本科,免费学技术类课程和来自BAT的讲师交流,8K-15K,3-5年
广州名医汇健康管理信息技术合伙企业（有限合伙）,"移动互联网,医疗健康",未融资,[],15-50人,越秀区,开发/测试/运维类,本科,"股份/期权,绩效奖金,五险,丰富的团建",6k-12k,1-3年
广州智品移动技术有限公司,"移动互联网,电子商务",A轮,"['五险一金', '健身器材', '扁平管理', '产品为主']",50-150人,天河区,技术,本科,弹性工时，舒适环境，鼓励新技术，扁平管理,8k-15k,不限
广州登风网络开发有限公司,"移动互联网,游戏",未融资,"['""""']",150-500人,天河区,开发/测试/运维类,大专,"周末双休,五险一金,节日福利,房补餐补",6k-10k,应届毕业生
广州爱拍网络科技有限公司,文化娱乐,D轮及以上,"['团队牛掰', '企业文化温馨', '绩效奖金丰厚', '内部孵化项目']",150-500人,天河区,开发/测试/运维类,本科,股份期权 五险一金 晋升空间大,8k-15k,1-3年
